B [mm],L [mm],R1 [mm],Freq [GHz],"dB(S(1,1)) []"
16.0,15.5,5.6,2.95,-0.296213829615711
16.0,15.5,5.6,2.96475,-0.300695463961261
16.0,15.5,5.6,2.9795,-0.305536907945938
16.0,15.5,5.6,2.99425,-0.310752634269044
16.0,15.5,5.6,3.009,-0.316358025217705
16.0,15.5,5.6,3.02375,-0.322369423909196
16.0,15.5,5.6,3.0385,-0.328804187771257
16.0,15.5,5.6,3.05325,-0.335680744157728
16.0,15.5,5.6,3.068,-0.343018647940194
16.0,15.5,5.6,3.08275,-0.350838640846407
16.0,15.5,5.6,3.0975,-0.359162712230846
16.0,15.5,5.6,3.11225,-0.368014160858868
16.0,15.5,5.6,3.127,-0.377417657159912
16.0,15.5,5.6,3.14175,-0.387399305253701
16.0,15.5,5.6,3.1565,-0.397986703871099
16.0,15.5,5.6,3.17125,-0.409209005074014
16.0,15.5,5.6,3.186,-0.421096969419584
16.0,15.5,5.6,3.20075,-0.433683015907107
16.0,15.5,5.6,3.2155,-0.447001264683972
16.0,15.5,5.6,3.23025,-0.461087570061209
16.0,15.5,5.6,3.245,-0.475979540891634
16.0,15.5,5.6,3.25975,-0.491716544784458
16.0,15.5,5.6,3.2745,-0.508339691960479
16.0,15.5,5.6,3.28925,-0.525891793782002
16.0,15.5,5.6,3.304,-0.544417290113377
16.0,15.5,5.6,3.31875,-0.563962138674113
16.0,15.5,5.6,3.3335,-0.58457365843371
16.0,15.5,5.6,3.34825,-0.606300317865649
16.0,15.5,5.6,3.363,-0.629191457535322
16.0,15.5,5.6,3.37775,-0.653296935059729
16.0,15.5,5.6,3.3925,-0.678666678976333
16.0,15.5,5.6,3.40725,-0.705350136542601
16.0,15.5,5.6,3.422,-0.733395599028384
16.0,15.5,5.6,3.43675,-0.762849386762779
16.0,15.5,5.6,3.4515,-0.793754875195094
16.0,15.5,5.6,3.46625,-0.826151342712152
16.0,15.5,5.6,3.481,-0.860072621161755
